Pos;2011;2010;Title;Director;Year;Country;Mins;Genre;Colour;Amazon;IMDB;Google
702;674;643;Taste of Cherry, A;Kiarostami, Abbas;1997;Iran;99;Drama;Col;Amazon;IMDB;Goog
703;675;623;Miracle of Morgan's Creek, The;Sturges, Preston;1944;US;99;Comedy;BW;Amazon;IMDB;Goog
704;677;636;Ronde, La;Ophüls, Max;1950;France;97;Drama;BW;Amazon;IMDB;Goog
705;699;683;Pakeezah;Amrohi, Kamal;1972;India;150;Drama;Col;Amazon;IMDB;Goog
706;710;703;Player, The;Altman, Robert;1992;US;123;Comedy;Col;Amazon;IMDB;Goog
707;690;645;Not Reconciled;Straub, Jean-Marie;1965;West Germany;53;Drama;BW;Amazon;IMDB;Goog
708;731;682;Yellow Earth;Chen Kaige;1984;China;89;Drama-Political;Col;Amazon;IMDB;Goog
709;734;680;Last Temptation of Christ, The;Scorsese, Martin;1988;US;164;Religious;Col;Amazon;IMDB;Goog
710;739;675;Straw Dogs;Peckinpah, Sam;1971;US;113;Crime-Drama-Thriller;Col;Amazon;IMDB;Goog
711;684;754;Early Summer;Ozu, Yasujiro;1951;Japan;135;Drama;BW;Amazon;IMDB;Goog
712;726;739;Pan's Labyrinth;del Toro, Guillermo;2006;Spain-Mexico-US;120;Drama-Fantasy-Thriller;Col;Amazon;IMDB;Goog
713;---;---;Rififi;Dassin, Jules;1955;France;115;Crime;BW;Amazon;IMDB;Goog
714;738;673;Magnificent Seven, The;Sturges, John;1960;US;126;Western;Col;Amazon;IMDB;Goog
715;687;639;Woman in the Window, The;Lang, Fritz;1944;US;99;Thriller;BW;Amazon;IMDB;Goog
716;691;653;Design for Living;Lubitsch, Ernst;1933;US;90;Romance-Comedy;BW;Amazon;IMDB;Goog
717;692;700;There's Always Tomorrow;Sirk, Douglas;1956;US;84;Drama;BW;Amazon;IMDB;Goog
718;744;755;Lost in Translation;Coppola, Sofia;2003;US-Japan;102;Romance-Drama-Comedy;Col;Amazon;IMDB;Goog
719;715;693;Kaagaz Ke Phool;Dutt, Guru;1959;India;148;Romance-Drama;BW;Amazon;IMDB;Goog
720;719;713;Flowers of Shanghai;Hou Hsiao-hsien;1998;Taiwan;130;Drama;Col;Amazon;IMDB;Goog
721;---;---;Audition;Miike, Takashi;1999;Japan-South Korea;115;Thriller-Horror-Drama;Col;Amazon;IMDB;Goog
722;721;---;Platform;Jia Zhangke;2000;Hong Kong-Japan-France-Netherlands-Switzerland;154;Drama-Historical;Col;Amazon;IMDB;Goog
723;768;715;My Fair Lady;Cukor, George;1964;US;170;Musical-Comedy-Romance;Col;Amazon;IMDB;Goog
724;695;663;Faster, Pussycat! Kill! Kill!;Meyer, Russ;1966;US;84;Drama-Comedy-Action;Col;Amazon;IMDB;Goog
725;960;904;Black Orpheus;Camus, Marcel;1959;Brazil-France;103;Drama-Romance;Col;Amazon;IMDB;Goog
726;697;720;Hannah and Her Sisters;Allen, Woody;1986;US;106;Drama-Comedy-Romance;Col;Amazon;IMDB;Goog
727;700;649;Mon oncle d'Amérique;Resnais, Alain;1980;France;123;Drama-Comedy;Col;Amazon;IMDB;Goog
728;701;763;Plácido;Berlanga, Luis García;1961;Spain;85;Comedy;BW;Amazon;IMDB;Goog
729;730;667;Puppetmaster, The;Hou Hsiao-hsien;1993;Taiwan;141;Drama-Biography;Col;Amazon;IMDB;Goog
730;753;726;Black Sunday;Bava, Mario;1960;Italy;83;Horror;BW;Amazon;IMDB;Goog
731;---;---;Short Film About Killing, A;Kieslowski, Krszystof;1987;Poland;85;Drama-Crime;Col;Amazon;IMDB;Goog
732;732;813;A.I. Artificial Intelligence;Spielberg, Steven;2001;US;145;Science Fiction-Drama;Col;Amazon;IMDB;Goog
733;746;790;Memento;Nolan, Christopher;2000;US;113;Thriller-Mystery-Drama;Col;Amazon;IMDB;Goog
734;733;669;Ace in the Hole;Wilder, Billy;1951;US;112;Drama;BW;Amazon;IMDB;Goog
735;735;671;Gandhi;Attenborough, Richard;1982;UK;188;Drama-Biography-Historical;Col;Amazon;IMDB;Goog
736;696;692;Casino;Scorsese, Martin;1995;US;182;Drama-Crime;Col;Amazon;IMDB;Goog
737;707;892;Nazarín;Buñuel, Luis;1958;Mexico;94;Religious-Drama;BW;Amazon;IMDB;Goog
738;737;672;Orlando;Potter, Sally;1992;UK-Russia-France-Italy-Netherlands;93;Historical-Drama-Fantasy;Col;Amazon;IMDB;Goog
739;853;801;Broadway Danny Rose;Allen, Woody;1984;US;86;Comedy;BW;Amazon;IMDB;Goog
740;708;761;Avanti!;Wilder, Billy;1972;US;144;Comedy;Col;Amazon;IMDB;Goog
741;741;676;Dead Poets Society;Weir, Peter;1989;US;128;Drama;Col;Amazon;IMDB;Goog
742;711;706;Oldboy;Park Chan-wook;2003;Korea;120;Action-Mystery-Thriller;Col;Amazon;IMDB;Goog
743;712;666;Misfits, The;Huston, John;1961;US;124;Western-Romance-Drama;BW;Amazon;IMDB;Goog
744;713;---;Hawks and the Sparrows, The;Pasolini, Pier Paolo;1966;Italy;88;Comedy-Political;BW;Amazon;IMDB;Goog
745;716;737;Sun Shines Bright, The;Ford, John;1953;US;90;Drama-Comedy;BW;Amazon;IMDB;Goog
746;685;656;Firemen's Ball, The;Forman, Milos;1967;Czechoslovakia;73;Comedy;Col;Amazon;IMDB;Goog
747;718;---;Gunga Din;Stevens, George;1939;US;117;War-Adventure-Action;BW;Amazon;IMDB;Goog
748;811;878;Festen;Vinterberg, Thomas;1998;Denmark;105;Drama;Col;Amazon;IMDB;Goog
749;755;727;Hour of the Wolf;Bergman, Ingmar;1967;Sweden;88;Horror-Drama;BW;Amazon;IMDB;Goog
750;720;668;Hana-Bi;Kitano, Takeshi;1997;Japan;103;Drama-Crime;Col;Amazon;IMDB;Goog
751;789;732;Limite;Peixoto, Mario;1931;Brazil;120;Drama;BW;Amazon;IMDB;Goog
752;778;751;Fish Called Wanda, A;Crichton, Charles;1988;UK;108;Romance-Crime-Comedy;Col;Amazon;IMDB;Goog
753;---;---;Harlan County, U.S.A.;Kopple, Barbara;1976;US;103;Documentary;Col;Amazon;IMDB;Goog
754;727;---;From Here to Eternity;Zinnemann, Fred;1953;US;118;War-Drama-Romance;BW;Amazon;IMDB;Goog
755;---;---;Marketa Lazarová;Vlácil, Frantisek;1967;Czechoslovakia;162;Romance-Drama;BW;Amazon;IMDB;Goog
756;781;787;Dazed and Confused;Linklater, Richard;1993;US;94;Drama;Col;Amazon;IMDB;Goog
757;770;772;Pursued;Walsh, Raoul;1947;US;101;Western-Thriller;BW;Amazon;IMDB;Goog
758;728;705;Actor's Revenge, An;Ichikawa, Kon;1963;Japan;114;Drama;Col;Amazon;IMDB;Goog
759;729;698;Under the Roofs of Paris;Clair, René;1930;France;92;Comedy-Drama-Musical;BW;Amazon;IMDB;Goog
760;754;759;Dances with Wolves;Costner, Kevin;1990;US;181;Western;Col;Amazon;IMDB;Goog
761;760;701;Moonfleet;Lang, Fritz;1955;US;89;Adventure-Drama;Col;Amazon;IMDB;Goog
762;736;734;Night of the Demon;Tourneur, Jacques;1957;UK;82;Horror;BW;Amazon;IMDB;Goog
763;831;914;Se7en;Fincher, David;1995;US;127;Thriller-Mystery-Drama;Col;Amazon;IMDB;Goog
764;776;724;Robocop;Verhoeven, Paul;1987;US;103;Science Fiction-Crime;Col;Amazon;IMDB;Goog
765;740;707;Virgin Spring, The;Bergman, Ingmar;1959;Sweden;88;Drama;BW;Amazon;IMDB;Goog
766;773;875;Punch-Drunk Love;Anderson, Paul Thomas;2002;US;95;Romance-Drama-Comedy;Col;Amazon;IMDB;Goog
767;859;805;Man in the White Suit, The;Mackendrick, Alexander;1951;UK;84;Comedy;BW;Amazon;IMDB;Goog
768;742;738;Rise to Power of Louis XIV, The;Rossellini, Roberto;1966;France;100;Drama-Biography-Historical;Col;Amazon;IMDB;Goog
769;752;708;Hatari!;Hawks, Howard;1962;US;159;Drama;Col;Amazon;IMDB;Goog
770;775;783;Crash [1996];Cronenberg, David;1996;Canada;100;Drama;Col;Amazon;IMDB;Goog
771;882;819;Times of Harvey Milk, The;Epstein, Rob;1984;US;87;Documentary-Historical-Biography;Col;Amazon;IMDB;Goog
772;745;684;Tom, Tom the Piper's Son;Jacobs, Ken;1969;US;86;Avant-Garde;BW;Amazon;IMDB;Goog
773;---;---;Out 1, noli me tangere;Rivette, Jacques;1971;France;729;Comedy-Drama-Thriller;Col-BW;Amazon;IMDB;Goog
774;748;687;Ceddo;Sembene, Ousmane;1976;Senegal;117;Drama-Politcal-Avant Garde;Col;Amazon;IMDB;Goog
775;798;776;Grave of the Fireflies;Takahata, Isao;1988;Japan;93;Animated-War-Drama;Col;Amazon;IMDB;Goog
776;749;688;Johnny Got His Gun;Trumbo, Dalton;1971;US;111;War-Drama;Col;Amazon;IMDB;Goog
777;751;690;Witness;Weir, Peter;1985;US;112;Crime-Drama-Romance;Col;Amazon;IMDB;Goog
778;765;860;Lost Highway;Lynch, David;1996;US;135;Mystery;Col;Amazon;IMDB;Goog
779;757;804;Requiem for a Dream;Aronofsky, Darren;2000;US;100;Drama;Col;Amazon;IMDB;Goog
780;803;779;Saving Private Ryan;Spielberg, Steven;1998;US;169;War-Drama-Action;Col;Amazon;IMDB;Goog
781;---;---;Round-Up, The;Jancsó, Miklós;1965;Hungary;94;Political-Drama-War;BW;Amazon;IMDB;Goog
782;795;791;Berlin: Symphony of a Great City;Ruttmann, Walter;1927;Germany;65;Documentary;BW;Amazon;IMDB;Goog
783;787;780;Lord of the Rings: The Fellowship of the Ring, The;Jackson, Peter;2001;US-New Zealand;178;Fantasy-Adventure;Col;Amazon;IMDB;Goog
784;756;728;Docks of New York, The;von Sternberg, Josef;1928;US;76;Romance-Drama-Crime;BW;Amazon;IMDB;Goog
785;758;699;O Lucky Man!;Anderson, Lindsay;1973;UK;173;Fantasy-Drama-Comedy;Col;Amazon;IMDB;Goog
786;750;---;Mother and Son;Sokurov, Aleksandr;1997;Russia-Germany;70;Drama;Col;Amazon;IMDB;Goog
787;759;757;Branded to Kill;Suzuki, Seijun;1966;Japan;91;Crime-Action;BW;Amazon;IMDB;Goog
788;761;794;Starship Troopers;Verhoeven, Paul;1997;US;129;Science Fiction-Action-Adventure-War;Col;Amazon;IMDB;Goog
789;790;733;Man for All Seasons, A;Zinnemann, Fred;1966;UK;120;Drama;Col;Amazon;IMDB;Goog
790;762;867;Criminal Life of Archibaldo de la Cruz, The;Buñuel, Luis;1955;Mexico;91;Drama-Crime;BW;Amazon;IMDB;Goog
791;763;716;Phantom Carriage, The;Sjöström, Victor;1920;Sweden;89;Fantasy-Drama;BW;Amazon;IMDB;Goog
792;845;815;Fountainhead, The;Vidor, King;1949;US;114;Drama;BW;Amazon;IMDB;Goog
793;801;---;Caché;Haneke, Michael;2005;France-Austria-Germany-Italy;117;Thriller-Drama;Col;Amazon;IMDB;Goog
794;---;---;Sleeper;Allen, Woody;1973;US;88;Science Fiction-Comedy;Col;Amazon;IMDB;Goog
795;764;718;Woman of Paris, A;Chaplin, Charles;1923;US;81;Drama;BW;Amazon;IMDB;Goog
796;824;---;Landscape in the Mist;Angelopoulos, Theo;1988;Greece-France-Italy;125;Drama;Col;Amazon;IMDB;Goog
797;807;---;Y tu mamá también;Cuarón, Alfonso;2001;Mexico;105;Drama-Comedy;Col;Amazon;IMDB;Goog
798;785;730;Man from Laramie, The;Mann, Anthony;1955;US;104;Western;Col;Amazon;IMDB;Goog
799;779;752;My Own Private Idaho;Van Sant, Gus;1991;US;102;Drama;Col;Amazon;IMDB;Goog
800;796;749;Reckless Moment, The;Ophüls, Max;1949;US;82;Drama-Crime;BW;Amazon;IMDB;Goog
801;766;711;Zelig;Allen, Woody;1983;US;79;Comedy;Col-BW;Amazon;IMDB;Goog
802;829;886;Gleaners & I, The;Varda, Agnès;2000;France;82;Documentary;Col;Amazon;IMDB;Goog
803;767;587;Hellzapoppin';Potter, H.C.;1941;US;84;Comedy;BW;Amazon;IMDB;Goog
804;827;774;W.R.: Mysteries of the Organism;Makavejev, Dusan;1971;Yugoslavia;84;Drama-Comedy-Fantasy;Col;Amazon;IMDB;Goog
805;769;736;Trou, Le;Becker, Jacques;1959;France-Italy;140;Drama-Crime;BW;Amazon;IMDB;Goog
806;771;---;Burnt by the Sun;Mikhalkov, Nikita;1994;Russia-France;152;Historical-Drama;Col;Amazon;IMDB;Goog
807;774;722;47 Ronin, The;Mizoguchi, Kenji;1941;Japan;219;Historical-Action-Drama;BW;Amazon;IMDB;Goog
808;802;784;Subarnarekha;Ghatak, Ritwik;1965;India;143;Drama;BW;Amazon;IMDB;Goog
809;777;747;You Only Live Once;Lang, Fritz;1937;US;86;Crime;BW;Amazon;IMDB;Goog
810;780;725;Fellini's Roma;Fellini, Federico;1972;Italy;128;Drama-Comedy;Col;Amazon;IMDB;Goog
811;806;788;Chronicle of a Summer;Rouch, Jean & Edgar Morin;1960;France;90;Documentary;BW;Amazon;IMDB;Goog
812;782;744;Shoeshine;De Sica, Vittorio;1946;Italy;93;Drama;BW;Amazon;IMDB;Goog
813;783;770;While the City Sleeps;Lang, Fritz;1956;US;100;Drama-Crime;BW;Amazon;IMDB;Goog
814;784;729;Bidone, Il;Fellini, Federico;1955;Italy;92;Drama;BW;Amazon;IMDB;Goog
815;786;731;Vagabond;Varda, Agnès;1985;France;106;Drama;Col;Amazon;IMDB;Goog
816;---;---;Dodsworth;Wyler, William;1936;US;101;Romance-Drama;BW;Amazon;IMDB;Goog
817;---;---;Yol;Gören, Serif;1982;Switzerland-Turkey;111;Drama;Col;Amazon;IMDB;Goog
818;866;---;History of Violence, A;Cronenberg, David;2005;Germany-US;95;Crime-Drama-Thriller;Col;Amazon;IMDB;Goog
819;788;760;Lusty Men, The;Ray, Nicholas;1952;US;113;Western-Sports-Drama;BW;Amazon;IMDB;Goog
820;823;850;Who Framed Roger Rabbit?;Zemeckis, Robert;1988;US;103;Mystery-Comedy-Animated;Col;Amazon;IMDB;Goog
821;---;---;Arrivée d'un train à la Ciotat, L';Lumière, August & Louis Lumière;1895;France;1;Short-Documentary;BW;Amazon;IMDB;Goog
822;791;---;Angel Face;Preminger, Otto;1953;US;91;Crime;BW;Amazon;IMDB;Goog
823;851;869;Happy Together;Wong Kar-wai;1997;Hong Kong;97;Romance-Drama;Col;Amazon;IMDB;Goog
824;816;824;Midnight;Leisen, Mitchell;1939;US;94;Romance-Comedy;BW;Amazon;IMDB;Goog
825;792;735;Law of Desire;Almodóvar, Pedro;1987;Spain;100;Romance-Drama-Comedy;Col;Amazon;IMDB;Goog
826;793;806;War of the Worlds, The;Haskin, Byron;1953;US;85;Science Fiction-Action;Col;Amazon;IMDB;Goog
827;871;817;Mephisto;Szabó, István;1981;Hungary;135;War-Drama;Col;Amazon;IMDB;Goog
828;---;---;Mother India;Khan, Mehboob;1957;India;172;Drama-Musical-Family;Col;Amazon;IMDB;Goog
829;890;829;Loneliness of the Long Distance Runner, The;Richardson, Tony;1962;UK;103;Drama-Sports;BW;Amazon;IMDB;Goog
830;794;743;Beyond a Reasonable Doubt;Lang, Fritz;1956;US;80;Mystery;BW;Amazon;IMDB;Goog
831;---;---;Haunting, The;Wise, Robert;1963;US;112;Horror;BW;Amazon;IMDB;Goog
832;817;782;Purple Rose of Cairo, The;Allen, Woody;1985;US;82;Fantasy-Comedy-Romance;Col;Amazon;IMDB;Goog
833;828;---;Remains of the Day, The;Ivory, James;1993;UK-US;135;Drama;Col;Amazon;IMDB;Goog
834;830;807;Yeelen;Cissé, Souleymane;1987;Mali;105;Drama-Adventure-Action;Col;Amazon;IMDB;Goog
835;797;746;Sugar Cane Alley;Palcy, Euzhan;1983;France;103;Drama;Col;Amazon;IMDB;Goog
836;---;---;Zabriskie Point;Antonioni, Michelangelo;1970;US;112;Drama;Col;Amazon;IMDB;Goog
837;---;---;Funny Games [1997];Haneke, Michael;1997;Austria;108;Thriller-Drama;Col;Amazon;IMDB;Goog
838;725;694;Safe;Haynes, Todd;1995;US;119;Drama;Col;Amazon;IMDB;Goog
839;---;---;Enfance nue, L';Pialat, Maurice;1968;France;80;Drama;Col;Amazon;IMDB;Goog
840;799;748;Ordinary People;Redford, Robert;1980;US;123;Drama;Col;Amazon;IMDB;Goog
841;834;777;Maîtres fous, Les;Rouch, Jean;1955;France;36;Documentary-Short;Col;Amazon;IMDB;Goog
842;838;778;Red Sorghum;Zhang Yimou;1987;China;91;Drama;Col;Amazon;IMDB;Goog
843;800;765;Informer, The;Ford, John;1935;US;91;Drama;BW;Amazon;IMDB;Goog
844;876;849;Duel;Spielberg, Steven;1971;US;90;Thriller-Action;Col;Amazon;IMDB;Goog
845;813;762;Red Circle, The;Melville, Jean-Pierre;1970;France-Italy;150;Thriller-Crime;Col;Amazon;IMDB;Goog
846;804;661;Days and Nights in the Forest;Ray, Satyajit;1969;India;120;Romance-Drama-Comedy;BW;Amazon;IMDB;Goog
847;841;799;Bête humaine, La;Renoir, Jean;1938;France;99;Drama;BW;Amazon;IMDB;Goog
848;875;873;Long Day Closes, The;Davies, Terence;1992;UK;83;Drama;Col;Amazon;IMDB;Goog
849;805;786;Assault on Precinct 13 [1976];Carpenter, John;1976;US;90;Action;Col;Amazon;IMDB;Goog
850;840;841;El Dorado [1967];Hawks, Howard;1967;US;126;Western;Col;Amazon;IMDB;Goog
851;---;---;Russian Ark;Sokurov, Aleksandr;2002;Russia-Germany-Japan-Canada-Finland-Denmark;96;Fantasy-Drama;Col;Amazon;IMDB;Goog
852;826;792;Kameradschaft;Pabst, G.W.;1931;Germany;93;Drama-Disaster;BW;Amazon;IMDB;Goog
853;808;789;Caro diario;Moretti, Nanni;1994;Italy-France;100;Comedy;Col;Amazon;IMDB;Goog
854;809;758;Abraham's Valley;de Oliveira, Manoel;1993;Portugal-France-Switzerland;189;Drama;Col;Amazon;IMDB;Goog
855;843;---;Quince Tree of the Sun;Erice, Victor;1991;Spain;139;Documentary-Biography-Drama;Col;Amazon;IMDB;Goog
856;846;793;Shanghai Express;von Sternberg, Josef;1932;US;80;Drama-Adventure;BW;Amazon;IMDB;Goog
857;---;---;Big Red One, The;Fuller, Sam;1980;US;113;War-Action-Drama;Col;Amazon;IMDB;Goog
858;---;---;My Man Godfrey;La Cava, Gregory;1936;US;95;Romance-Comedy;BW;Amazon;IMDB;Goog
859;812;879;Samson and Delilah [1949];DeMille, Cecil B.;1949;US;128;Religious-Drama-Romance;Col;Amazon;IMDB;Goog
860;835;---;New World, The;Malick, Terrence;2005;US;135;Drama-Historical-Romance;Col;Amazon;IMDB;Goog
861;820;766;Indian Tomb, The;Lang, Fritz;1958;France-Italy-West Germany;95;Adventure;Col;Amazon;IMDB;Goog
862;870;846;Pink Flamingos;Waters, John;1972;US;92;Comedy-Crime;Col;Amazon;IMDB;Goog
863;814;897;Lacombe, Lucien;Malle, Louis;1974;France;137;War-Drama;Col;Amazon;IMDB;Goog
864;---;---;Wanda;Loden, Barbara;1970;US;105;Drama-Crime;Col;Amazon;IMDB;Goog
865;---;---;Awaara;Kapoor, Raj;1951;India;193;Drama-Musical-Romance;BW;Amazon;IMDB;Goog
866;893;868;Lone Star;Sayles, John;1995;US;134;Mystery-Drama;Col;Amazon;IMDB;Goog
867;815;764;Peter Ibbetson;Hathaway, Henry;1935;US;88;Romance-Fantasy-Drama;BW;Amazon;IMDB;Goog
868;---;---;Edvard Munch [TV];Watkins, Peter;1974;Sweden-Norway;210;Drama-Biography;Col;Amazon;IMDB;Goog
869;---;---;In Cold Blood;Brooks, Richard;1967;US;134;Crime-Biography;BW;Amazon;IMDB;Goog
870;818;798;Big Parade, The;Vidor, King;1925;US;141;War-Romance-Drama;BW;Amazon;IMDB;Goog
871;819;800;Art of Vision, The;Brakhage, Stan;1964;US;248;Avant-Garde;Col;Amazon;IMDB;Goog
872;821;767;Anatomy of a Murder;Preminger, Otto;1959;US;160;Drama;BW;Amazon;IMDB;Goog
873;822;827;Murder by Contract;Lerner, Irving;1958;US;81;Thriller-Drama-Crime;BW;Amazon;IMDB;Goog
874;---;---;Atlantic City;Malle, Louis;1980;Canada-France;104;Crime;Col;Amazon;IMDB;Goog
875;873;937;Million Dollar Baby;Eastwood, Clint;2004;US;137;Drama;Col;Amazon;IMDB;Goog
876;842;797;Sweet Hereafter, The;Egoyan, Atom;1997;Canada;112;Drama;Col;Amazon;IMDB;Goog
877;825;771;Judex [1963];Franju, Georges;1963;France;95;Fantasy-Adventure-Action;BW;Amazon;IMDB;Goog
878;914;854;Tom Jones;Richardson, Tony;1963;UK;129;Romance-Comedy-Adventure;Col;Amazon;IMDB;Goog
879;---;---;Werckmeister Harmonies;Tarr, Béla;2000;Hungary-Germany-France-Switzerland-Italy;145;Drama;BW;Amazon;IMDB;Goog
880;864;812;Wrong Man, The;Hitchcock, Alfred;1956;US;105;Drama-Crime;BW;Amazon;IMDB;Goog
881;832;775;Saragossa Manuscript, The;Has, Wojciech;1964;Poland;124;Drama-Mystery-Fantasy;BW;Amazon;IMDB;Goog
882;836;831;Out 1: Spectre;Rivette, Jacques;1972;France;255;Drama-Avant Garde;Col;Amazon;IMDB;Goog
883;---;---;Night and the City;Dassin, Jules;1950;UK-US;101;Crime-Sport;BW;Amazon;IMDB;Goog
884;837;871;Nutty Professor, The [1963];Lewis, Jerry;1963;US;107;Comedy;Col;Amazon;IMDB;Goog
885;850;922;Death of Mr. Lazarescu, The;Puiu, Cristi;2005;Romania;154;Drama;Col;Amazon;IMDB;Goog
886;839;823;Marquise of O, The;Rohmer, Eric;1976;France-West Germany;102;Drama-Historical;Col;Amazon;IMDB;Goog
887;---;---;Ladykillers, The [1955];Mackendrick, Alexander;1955;UK;90;Crime-Comedy;Col;Amazon;IMDB;Goog
888;---;---;Star Spangled to Death;Jacobs, Ken;2004;US;402;Avant-Garde;Col-BW;Amazon;IMDB;Goog
889;---;---;4 Months, 3 Weeks and 2 Days;Mungiu, Cristian;2007;Romania-Netherlands-France-Germany;113;Drama;Col;Amazon;IMDB;Goog
890;833;814;Red and the White, The;Jancsó, Miklós;1967;Hungary-USSR;90;War-Drama;BW;Amazon;IMDB;Goog
891;887;859;Wild at Heart;Lynch, David;1990;US;127;Romance-Drama-Crime;Col;Amazon;IMDB;Goog
892;874;848;Year of Living Dangerously, The;Weir, Peter;1983;Australia;115;Romance-Adventure;Col;Amazon;IMDB;Goog
893;---;---;Flaming Creatures;Smith, Jack;1963;US;43;Drama;BW;Amazon;IMDB;Goog
894;844;816;Femme est une femme, Une;Godard, Jean-Luc;1961;France;83;Drama-Comedy-Musical;Col;Amazon;IMDB;Goog
895;913;887;Diary for Timothy, A;Jennings, Humphrey;1945;UK;40;Documentary-Short;BW;Amazon;IMDB;Goog
896;847;796;Destiny;Lang, Fritz;1921;Germany;105;Fantasy;BW;Amazon;IMDB;Goog
897;848;880;Europa '51;Rossellini, Roberto;1951;Italy;110;Drama;BW;Amazon;IMDB;Goog
898;---;---;Killers, The [1946];Siodmak, Robert;1946;US;105;Crime;BW;Amazon;IMDB;Goog
899;849;830;Spider's Stratagem, The;Bertolucci, Bernardo;1970;Italy;100;Mystery-Drama;Col;Amazon;IMDB;Goog
900;868;821;Nibelungen, Die;Lang, Fritz;1924;Germany;269;Fantasy-Adventure;BW;Amazon;IMDB;Goog
901;884;822;New York, New York;Scorsese, Martin;1977;US;164;Musical;Col;Amazon;IMDB;Goog
902;---;---;Bellissima;Visconti, Luchino;1951;Italy;112;Drama;BW;Amazon;IMDB;Goog
903;---;---;Age of the Earth, The;Rocha, Glauber;1980;Brazil;158;Political-Drama-Religious;Col;Amazon;IMDB;Goog
904;---;---;To Sleep with Anger;Burnett, Charles;1990;US;102;Drama;Col;Amazon;IMDB;Goog
905;747;685;Heiress, The;Wyler, William;1949;US;115;Drama;BW;Amazon;IMDB;Goog
906;852;826;Dracula [1931];Browning, Tod;1931;US;75;Horror-Fantasy;BW;Amazon;IMDB;Goog
907;854;802;Opening Night;Cassavetes, John;1977;US;144;Drama;Col;Amazon;IMDB;Goog
908;911;---;Babe;Noonan, Chris;1995;Australia;94;Fantasy-Comedy-Family;Col;Amazon;IMDB;Goog
909;856;843;Three Colours: White;Kieslowski, Krszystof;1993;France-Poland;92;Drama;Col;Amazon;IMDB;Goog
910;---;---;Organiser, The;Monicelli, Mario;1963;Italy;126;Drama-Crime-Political;BW;Amazon;IMDB;Goog
911;---;---;Incredibles, The;Bird, Brad;2004;US;121;Family-Animated-Adventure;Col-BW;Amazon;IMDB;Goog
912;857;820;Childhood of Maxim Gorky, The;Donskoi, Mark;1938;USSR;99;Drama-Biography;BW;Amazon;IMDB;Goog
913;858;910;Bridges of Madison County, The;Eastwood, Clint;1995;US;135;Romance-Drama;Col;Amazon;IMDB;Goog
914;---;---;On Dangerous Ground;Ray, Nicholas;1951;US;82;Crime-Drama;BW;Amazon;IMDB;Goog
915;908;---;American Friend, The;Wenders, Wim;1977;France-Germany-US;127;Mystery-Crime;Col;Amazon;IMDB;Goog
916;860;808;Ju Dou;Zhang Yimou;1990;Japan-China;95;Romance-Historical-Drama;Col;Amazon;IMDB;Goog
917;861;809;Port of Shadows;Carné, Marcel;1938;France;91;Drama;BW;Amazon;IMDB;Goog
918;863;884;Ed Wood;Burton, Tim;1994;US;124;Drama-Comedy-Biography;BW;Amazon;IMDB;Goog
919;862;811;Queen Kelly;von Stroheim, Erich;1928;US;96;Drama;BW;Amazon;IMDB;Goog
920;865;---;Medium Cool;Wexler, Haskell;1969;US;110;Political-Drama;Col;Amazon;IMDB;Goog
921;867;837;Touki Bouki;Mambéty, Djibril Diop;1973;Senegal;85;Drama;Col;Amazon;IMDB;Goog
922;897;842;3 Women;Altman, Robert;1977;US;125;Drama;Col;Amazon;IMDB;Goog
923;---;---;Au revoir les enfants;Malle, Louis;1987;France;103;War-Drama;Col;Amazon;IMDB;Goog
924;869;844;Coeur en hiver, Un;Sautet, Claude;1991;France;105;Drama;Col;Amazon;IMDB;Goog
925;---;---;Entr'acte;Clair, René;1924;France;22;Short;BW;Amazon;IMDB;Goog
926;902;847;In the Heat of the Night;Jewison, Norman;1967;US;109;Crime;Col;Amazon;IMDB;Goog
927;872;---;Commune (Paris, 1871), La;Watkins, Peter;2000;France;345;Drama-Historical;BW;Amazon;IMDB;Goog
928;877;835;Rio Grande;Ford, John;1950;US;105;Western-War-Romance;BW;Amazon;IMDB;Goog
929;878;818;Feu follet, Le;Malle, Louis;1963;France;108;Drama;BW;Amazon;IMDB;Goog
930;903;874;Moana;Flaherty, Robert;1925;US;85;Documentary;BW;Amazon;IMDB;Goog
931;879;832;Happiness [1934];Medvedkin, Aleksandr;1934;USSR;69;Comedy;BW;Amazon;IMDB;Goog
932;910;---;Lessons of Darkness;Herzog, Werner;1992;France-Germany;52;Documentary;Col;Amazon;IMDB;Goog
933;880;836;Collectionneuse, La;Rohmer, Eric;1966;France;88;Romance-Drama-Comedy;Col;Amazon;IMDB;Goog
934;881;853;Our Daily Bread [1934];Vidor, King;1934;US;74;Drama;BW;Amazon;IMDB;Goog
935;883;882;Chikamatsu monogatari;Mizoguchi, Kenji;1954;Japan;100;Drama-Romance;BW;Amazon;IMDB;Goog
936;918;971;Elephant;Van Sant, Gus;2003;US;81;Drama;Col;Amazon;IMDB;Goog
937;885;870;Plein soleil;Clément, René;1960;France-Italy;119;Thriller-Crime-Drama;Col;Amazon;IMDB;Goog
938;888;828;Cul-de-sac;Polanski, Roman;1966;UK;111;Thriller-Drama;BW;Amazon;IMDB;Goog
939;889;862;Wild River;Kazan, Elia;1960;US;110;Drama-Romance;Col;Amazon;IMDB;Goog
940;907;851;Mädchen in Uniform;Sagan, Leontine;1931;Germany;98;Drama;BW;Amazon;IMDB;Goog
