Pos;2011;2010;Title;Director;Year;Country;Mins;Genre;Colour;Amazon;IMDB;Google
143;135;136;Earth [1930];Dovzhenko, Alexander;1930;Russia;90;Drama;BW;Amazon;IMDB;Goog
144;146;144;Bonnie and Clyde;Penn, Arthur;1967;US;111;Drama-Crime-Biography;Col;Amazon;IMDB;Goog
145;154;146;Black Narcissus;Powell, Michael/Emeric Pressburger;1946;UK;99;Drama-Religious;Col;Amazon;IMDB;Goog
146;140;131;Dekalog;Kieslowski, Krszystof;1988;Poland;550;Drama;Col;Amazon;IMDB;Goog
147;143;148;Once Upon a Time in America;Leone, Sergio;1984;US;227;Drama-Crime;Col;Amazon;IMDB;Goog
148;155;153;Cabinet of Dr. Caligari, The;Wiene, Robert;1919;Germany;69;Horror-Fantasy;BW;Amazon;IMDB;Goog
149;139;155;Badlands;Malick, Terrence;1973;US;95;Drama-Crime;Col;Amazon;IMDB;Goog
150;150;156;Band Wagon, The;Minnelli, Vincente;1953;US;112;Musical-Dance-Comedy;Col;Amazon;IMDB;Goog
151;144;142;Chimes at Midnight;Welles, Orson;1966;Spain-Switzerland;115;War-Drama-Comedy;BW;Amazon;IMDB;Goog
152;162;169;Maltese Falcon, The [1941];Huston, John;1941;US;100;Mystery;BW;Amazon;IMDB;Goog
153;163;185;Exorcist, The;Friedkin, William;1973;US;121;Horror;Col;Amazon;IMDB;Goog
154;149;160;Woman Under the Influence, A;Cassavetes, John;1974;US;155;Drama;Col;Amazon;IMDB;Goog
155;142;135;Jetée, La;Marker, Chris;1962;France;27;Science Fiction-Drama-Short;BW;Amazon;IMDB;Goog
156;148;174;Quiet Man, The;Ford, John;1952;US;129;Romance-Drama-Comedy;Col;Amazon;IMDB;Goog
157;145;134;Man Escaped, A;Bresson, Robert;1956;France;102;Prison-Drama;BW;Amazon;IMDB;Goog
158;167;184;Nights of Cabiria;Fellini, Federico;1957;Italy-France;110;Drama;BW;Amazon;IMDB;Goog
159;160;161;Rocco and His Brothers;Visconti, Luchino;1960;Italy-France;180;Drama;BW;Amazon;IMDB;Goog
160;159;150;Red River;Hawks, Howard;1948;US;133;Western;BW;Amazon;IMDB;Goog
161;157;152;Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles;Akerman, Chantal;1975;Belgium-France;201;Drama-Avant-Garde;Col;Amazon;IMDB;Goog
